Country,Region,Year,Infant_deaths,Under_five_deaths,Adult_mortality,Alcohol_consumption,Hepatitis_B,Measles,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling,Economy_status_Developed,Economy_status_Developing,Life_expectancy
Afghanistan,Asia,2000,90.50 ,129.20 ,310.83 ,0.02 ,62.00 ,12.00 ,21.70 ,24.00 ,24.00 ,0.02 ,148.00 ,20.78 ,2.30 ,2.50 ,2.20 ,0.00 ,1.00 ,55.80 
Afghanistan,Asia,2014,55.20 ,73.60 ,231.98 ,0.01 ,62.00 ,44.00 ,23.20 ,62.00 ,62.00 ,0.03 ,565.00 ,33.37 ,17.50 ,17.50 ,3.50 ,0.00 ,1.00 ,63.00 
Afghanistan,Asia,2013,57.30 ,76.90 ,236.22 ,0.01 ,64.00 ,38.00 ,23.00 ,64.00 ,64.00 ,0.03 ,569.00 ,32.27 ,17.70 ,17.70 ,3.50 ,0.00 ,1.00 ,62.50 
Afghanistan,Asia,2008,69.20 ,95.70 ,259.81 ,0.03 ,64.00 ,23.00 ,22.50 ,64.00 ,64.00 ,0.02 ,399.00 ,27.72 ,18.80 ,18.90 ,3.00 ,0.00 ,1.00 ,59.90 
Afghanistan,Asia,2006,74.60 ,104.10 ,271.49 ,0.03 ,64.00 ,18.00 ,22.30 ,58.00 ,58.00 ,0.02 ,354.00 ,26.43 ,19.20 ,19.30 ,2.70 ,0.00 ,1.00 ,58.80 
Afghanistan,Asia,2002,85.30 ,121.10 ,298.89 ,0.02 ,64.00 ,14.00 ,21.90 ,36.00 ,36.00 ,0.02 ,320.00 ,22.60 ,19.90 ,2.20 ,2.30 ,0.00 ,1.00 ,56.80 
Afghanistan,Asia,2005,77.30 ,108.40 ,278.34 ,0.02 ,66.00 ,17.00 ,22.20 ,58.00 ,58.00 ,0.02 ,346.00 ,25.65 ,19.30 ,19.50 ,2.60 ,0.00 ,1.00 ,58.30 
Afghanistan,Asia,2010,64.20 ,87.80 ,250.14 ,0.02 ,66.00 ,29.00 ,22.70 ,66.00 ,66.00 ,0.02 ,526.00 ,29.19 ,18.40 ,18.40 ,3.20 ,0.00 ,1.00 ,61.00 
Afghanistan,Asia,2015,53.20 ,70.40 ,227.74 ,0.00 ,65.00 ,42.00 ,23.30 ,67.00 ,65.00 ,0.03 ,556.00 ,34.41 ,17.20 ,17.30 ,3.60 ,0.00 ,1.00 ,63.40 
Afghanistan,Asia,2004,80.00 ,112.60 ,285.19 ,0.02 ,67.00 ,16.00 ,22.10 ,50.00 ,50.00 ,0.02 ,323.00 ,24.73 ,19.50 ,19.70 ,2.50 ,0.00 ,1.00 ,57.80 
Afghanistan,Asia,2012,59.50 ,80.30 ,240.46 ,0.01 ,67.00 ,33.00 ,22.90 ,67.00 ,67.00 ,0.03 ,558.00 ,31.16 ,17.90 ,18.00 ,3.40 ,0.00 ,1.00 ,62.10 
Afghanistan,Asia,2003,82.70 ,116.90 ,292.04 ,0.02 ,65.00 ,15.00 ,22.00 ,41.00 ,41.00 ,0.02 ,332.00 ,23.68 ,19.70 ,19.90 ,2.40 ,0.00 ,1.00 ,57.30 
Afghanistan,Asia,2001,87.90 ,125.20 ,304.86 ,0.02 ,63.00 ,13.00 ,21.80 ,35.00 ,33.00 ,0.02 ,163.00 ,21.61 ,2.10 ,2.40 ,2.20 ,0.00 ,1.00 ,56.30 
Afghanistan,Asia,2007,71.90 ,99.90 ,264.64 ,0.02 ,63.00 ,21.00 ,22.40 ,63.00 ,63.00 ,0.02 ,393.00 ,27.10 ,19.00 ,19.10 ,2.90 ,0.00 ,1.00 ,59.40 
Afghanistan,Asia,2009,66.70 ,91.70 ,254.97 ,0.01 ,63.00 ,24.00 ,22.60 ,63.00 ,63.00 ,0.02 ,473.00 ,28.39 ,18.60 ,18.70 ,3.10 ,0.00 ,1.00 ,60.50 
Afghanistan,Asia,2011,61.80 ,84.00 ,245.30 ,0.01 ,68.00 ,31.00 ,22.80 ,68.00 ,68.00 ,0.02 ,512.00 ,30.12 ,18.20 ,18.20 ,3.30 ,0.00 ,1.00 ,61.60 
Albania,Rest of Europe,2007,15.30 ,17.10 ,82.70 ,5.46 ,98.00 ,95.00 ,25.80 ,99.00 ,98.00 ,0.03 ,3045.00 ,2.97 ,1.60 ,1.70 ,9.20 ,0.00 ,1.00 ,75.60 
